2016-02-11 00:24:51,784 [Worker-88] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 14_lazy_WithOut_ConfigFile:14_lazy_WithOut_ConfigFile:0.0.1-SNAPSHOT @ F:\Sriman\SpringAnnotation\14_lazy_WithOut_ConfigFile\pom.xml.
2016-02-11 00:24:57,620 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 00:24:57,623 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\14_lazy_WithOut_ConfigFile\src\main\resources
2016-02-11 00:24:57,628 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 00:24:57,630 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\14_lazy_WithOut_ConfigFile\src\test\resources
2016-02-11 00:24:57,672 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /14_lazy_WithOut_ConfigFile/src
2016-02-11 00:24:57,678 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /14_lazy_WithOut_ConfigFile/src/test/java because it overlaps with /14_lazy_WithOut_ConfigFile/src
2016-02-11 00:24:58,388 [Worker-88] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-02-11 00:24:58,776 [Worker-75] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 14_lazy_WithOut_ConfigFile:14_lazy_WithOut_ConfigFile:0.0.1-SNAPSHOT @ F:\Sriman\SpringAnnotation\14_lazy_WithOut_ConfigFile\pom.xml.
2016-02-11 00:24:59,003 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 00:24:59,005 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\14_lazy_WithOut_ConfigFile\src\main\resources
